gwf_case	start_event	end_event
Libya (1951-69)	"Start: 12/24/1951 Independence under the newly created monarchy of Idris I, who had been the amir of one of the three regions grouped together to form Libya (Berry 1987)."	"End: 9/1/1969 Coup by a small group of officers led by Capt. Qadhafi deposed the monarch (Haddad 1973, 325-30; Anderson 1986, 260)."
Libya (1969-)	"Start: 9/1/1969 Coup by a small group of junior officers led by Capt Qadhafi deposed the monarch and established the Revolutionary Command Council to rule (Haddad 1973, 325-30; Anderson 1986, 260-61)."	"End: Regime continued in power as of December 31, 2010. [Ousted by insurgency September 2011.]"
Madagascar (1960-72)	"Start: 6/26/1960 Independence under the leadership of Tsiranana and the PSD. According to Covell (1987, 30), French colonial administrators chose moderate, pro- French Tsiranana as party founder and first national leader. He was indirectly elected president before independence in 1959. The PSD general secretary became the Minister of the Interior and controlled "the organization (and results) of elections" (Covell 1987, 32). The "political system strongly favored the incumbent" (Schraeder 1994). For these reasons, we code the regime as authoritarian."	"End: 5/18/1972 Tsiranana handed power to the military in the face of widespread demonstrations and strikes (Covell, 1987, 47-48; Marcus 2004, 1)."
Madagascar (1972-75)	"Start: 5/18/1972 Tsiranana handed power to the military in the face of widespread demonstrations and strikes. Gen Ramanantsoa established a military regime (Covell 1987, 47-48, Schraeder 1994)."	"End: 6/15/1975 The collective leadership of the military government named Naval Capt. Ratsiraka President of the Republic. Ratsiraka initiated a transition from collective leadership by top ranked military officers to a ruling coalition that included civilians organized in a new party as well as officers (Covell 1987, 57-62). The post- 1975 period is treated as a new regime because the group from which officials could be chosen and who could influence policy changed from top military officers to a coalition of officers and civilian party leaders."
Madagascar (1975-93)	"Start: 6/15/1975 The collective leadership of the military government named Naval Capt Ratsiraka president of the republic. He established the ruling Supreme Revolutionary Council. Ratsiraka initiated a transition from collective leadership by top ranked military officers to a ruling coalition that included civilians organized in a new party as well as officers (Covell 1987, 52-62, 103-4). The post-1975 period is treated as a new regime because the group from which officials could be chosen and who could influence policy changed from top military officers to a coalition of officers and civilian party leaders. (Covell 1987, 115) describes it as "an alliance between selected factions of the armed forces and their civilian counterparts.""	"End: 2/10/1993 Second round of the presidential election won by the opposition (African Elections Database 2011f)."
Madagascar (2009-)	"Start: 3/17/2009 The elected president handed power to the military, which in turn handed it to the civilian leader of the opposition, in response to violent protests and a military mutiny (BBC News 2009; U.S. Dept. of State 2011g; Political Handbook of the World 2012m)."	"End: Regime continued in power as of December 31, 2010."
Malawi (1964-94)	"Start: 7/6/1964 Independence under the control of Banda and the MCP. The MCP won a sweeping victory in the August 1961 election for African seats in the Nyasaland legislature while what would later become Malawi was still part of the federation that included Rhodesia. Banda became PM of Nyasaland in February 1963 when it was granted internal self-government. The MCP had already consolidated one-party rule before independence, and Banda had established his personal control of the party as well. Opposition groups were intimidated from nominating candidates in the 1964 elections before independence. Shortly after independence a substantial faction of the party, including several members of Banda's first cabinet, were dismissed or purged after proposing limits on Banda's personal power, and others resigned and soon  ed the country (Decalo 1998, 58-68, U.S. Dept. of State 2011h)."	"End: 5/17/1994 Presidential election won by the opposition (Decalo 1998, 98; African Elections Database 2011g)."
Malaysia (1957-)	"Start: 8/31/1957 Independence. The British left power in the hands of Tunku Abdul Rahman, the leader of UMNO, a Malay ethnic party, allied with Chinese and Indian ethnic parties in the Alliance. In 1955, the Alliance had won 51 of 52 contested seats in a 98 seat legislative council in which the British controlled the other seats. At that time, it was difficult for non-Malays to become citizens, and 84% of the electorate was Malay though only 50% of inhabitants were. Thus the elected legislative council was not democratic, as defined in the coding rules, because it was less than 60% elected, and suffrage was limited by ethnic restrictions (Rabushka 1970, 346-47; Andaya and Andaya 1982; Means 1996, 103)."	"End: Regime continued in power as of December 31, 2010."
Mali (1960-68)	"Start: 9/22/1960 Independence under the control of Keita and US-RDA, which won the first universal suffrage election in 1957 and "had already swept away or absorbed all semblance of opposition" before independence (Vengroff and Kone 1995, 46). The country was declared a one-party state shortly after independence (Englebert 2004c, 635)."	"End: 11/19/1968 Coup led by a captain and lieutenant ousted the Keita government (Bebler 1973, 87-88)."
Mali (1968-91)	"Start: 11/19/1968 Coup led by Capt Diakhite and Lt Traore ousted the Keita government and established the Comite Militaire pour la Liberation Nationale (Military Committee for National Liberation) of four captains and ten lieutenants; senior offi- cers were dismissed (Bebler 1973, 87-90)."	"End: 3/26/1991 Officers arrested Traore in response to popular rioting and formed a mostly civilian transitional government within a few days. In July-August, 1991 a National Conference drafted a new constitution, and the transitional government oversaw fair competitive elections in April 1992 (U.S. Dept. of State 1993)."
Mauritania (1960-78)	"Start: 11/28/1960 Independence with Ould Daddah and the MRP in control. The MRP won pre-independence elections in May 1959, but Daddah had already banned some opposition parties before independence and arrested some opposition leaders (Moore 1965, 409, Warner 1988)."	"End: 7/10/1978 Coup ousted the Ould Daddah government (Warner 1988)."
Mauritania (1978-2005)	"Start: 7/10/1978 Coup by junior officers led by army commander Col Salek ousted the Daddah government and formed the Military Committee for National Recovery (CMRN) of 20 officers to rule. The regime was significantly civilianized under Col Taya, who succeeded the officer who succeeded Salek (Warner 1988)."	"End: 8/3/2005 Coup by members of the presidential guard and the military ousted the Taya government (N'Diaye 2006, 421; U.S. Dept. of State 2011i)."
Mauritania (2005-07)	"Start: 8/3/2005 coup ousted Taya and created the Military Council for Justice and Democracy led by Col Vall (U.S. Dept. of State 2011i; Political Handbook of the World 2012n, 918)."	"End: 3/25/2007 Competitive presidential election considered free and fair transferred power to civilians (Ojeda 2009, 2-3; U.S. Dept. of State 2011i)."
Mauritania (2008-)	"Start: 8/6/2008 Coup led by active duty and recently dismissed senior officers from the President's Security Battalion ousted the elected government and established the all-military High Council of State (BBC News 2008b, Political Handbook of the World 2012n, 919)."	"End: Regime continued in power as of December 31, 2010."
Mexico (1915-2000)	"Start: 8/2/1915 Forces loyal to Carranza retook Mexico City after the defeat of several other revolutionary forces, giving them control of most of the country. In September 1915 Carranza's government was recognized by the U.S. and a number of other countries. In 1916 Carranza called the meeting at Queretaro during which the Mexican constitution established the post-revolutionary regime that lasted until 2000 (Braderman 1940, 242; Haggerty 1996; Emerson Kent 2012)."	"End: 7/2/2000 Competitive presidential election won by the opposition (Klesner 2000)."
Mongolia (1921-93)	"Start: 9/14/1921 Independence after a force made up of Mongolian People's Party partisans and Soviet military defeated the White Russian occupiers of Mongolia. The government was led by the MPP, which developed from nationalist to communist during the 1920s under Soviet influence. Initially the MPP shared authority with the Bogdo Khan (traditional holy ruler combining leadership of government and religion), but those who supported a more traditional form of rule were eliminated and often executed after a series of factional conflicts within the party during the 1920s (Bawden 1968, 230-37; Worden 1989)."	"End: 6/6/1993 Competitive election of an opposition candidate in the first direct election of a president.We count this election as the regime end even though Ochirbat was the winning opposition candidate because he ran against a candidate of the ruling MPRP, and the June 1993 election marks the end of communist monopolization of the Mongolian political system (Ginsburg 1995, 462-71). Due to nonconcurrent elections, the MPRP did not lose control of the assembly until the next election in 1996 (U.S. Dept. of State 2011j)."
Morocco (1956-)	"Start: 3/2/1956 Independence under the rule of the traditional Sultan, Mohammed V (U.S. Dept. of State 2011k)."	"End: Regime continued in power as of December 31, 2010."
Mozambique (1975-)	"Start: 6/25/1975 Independence when the Portuguese handed power to Frelimo, which had led the armed struggle for independence. Frelimo established a one-party state (McKenna 2011, 116-17)."	"End: Regime continued in power as of December 31, 2010."
Myanmar (1958-1960)	"Start: 9/26/1958 In a context of conflict between two factions within the ruling party, AFPFL, Premier U Nu, with the consent of both factions, agreed to transfer power to General Ne Win and the army, which would assume a caretaker role to pacify the country and hold new elections. Parliament formally confirmed Ne Win as PM on October 28, 1958 (Trager 1959, 318; Feit 1973, 92-97; Callahan 2003, 187-89)."	"End: 2/6/1960 Competitive elections marked a transition from military to elected civilian rule (Bigelow 1960, 70; Butwell and von der Mehden 2008, 144-50; Feit 1973, 97; Cady 1974, 119; Callahan 2003, 197)."
Myanmar (1962-88)	"Start: 3/2/1962 Military coup led by Gen Ne Win ousted the civilian government and set up a mostly military Revolutionary Council to rule (Cook 1970, 259-60; Badgley 1962, 24; Cady 1974, 120; Callahan 2003, 202-8)."	"End: 9/18/88 Coup in response to massive demonstrations replaced the militarycivilian coalition with a military junta (Bradley 1997, 21; Burma Watch International 2010). The post-September 1988 period is considered a new regime because before September 1988, top leadership was dominated by Ne Win and retired officers who ruled through a single party with extensive societal penetration. In September 1988, the military disengaged from the ruling party and abolished all the governing insti80 Autocratic regime Start and End events tutions of the single-party regime (Guyot and Badgley 1990, 187-89; Brooker 1995, 169; Callahan 2003, 210-12; Min 2008, 1018). The post-1988 regime is described by Brooker (1995) as an "old-fashioned military regime under a junta (168)" and has been controlled by active-duty officers in the military and security service. Civilians who had been part of the old ruling party were subsequently incorporated into a renamed party to support the regime, but lost much of their influence."
Myanmar (1988-)	"Start: 9/18/1988 Coup in response to massive demonstrations replaced the militarycivilian coalition with a military junta, the State Law and Order Restoration Council (Bradley 1997, 21, Burma Watch International 2010). The post post-September 1988 period is considered a new regime because before that time, top leadership was dominated by Ne Win and retired officers, who ruled through a single party with extensive societal penetration. In September 1988, the military disengaged from the ruling party, abolished all the governing institutions of the single-party regime, and forced civilian members of the BSPP to resign (Guyot and Badgley 1990, 187-89; Brooker 1995, 169, Bradley 1997, 21; Callahan 2003, 210-12; Min 2008, 1018). The post-1988 regime is described by Brooker as an "old-fashioned military regime under a junta (1995, 168)" and has been controlled by active-duty officers in the military and security service. Parties were created that incorporated some of the same civilians included in the BSPP, but they have had little influence on policy choice. In 1997 regime leaders reorganized and narrowed the junta into the State Peace and Development Council, purging and demoting a number of officers who had been in the SLORC (Callahan 2003, 217)."	"End: Regime continued in power as of December 31, 2010."
Namibia (1990-)	"Start: 3/21/1990 Independence under the control of SWAPO, which led the armed fight for independence and won the UN-monitored Constituent Assembly election before independence, led by its president, Nujoma. SWAPO has won all subsequent elections and maintained more than two thirds of the seats in the legislature since the first post-independence election in 1994 (African Elections Database 2011h). Although elections have generally been considered fair, the ruling party has monopolized the use of state resources to influence outcomes, harassed the media, and controlled the electoral tribunal, disadvantaging the opposition. The opposition has faced intimidation and harassment (Bauer 2001, 43-51; Africa Confidential 2004a, 7). Before independence, power in SWAPO was concentrated in the hands of Nujoma and a few close allies. SWAPO's security services arrested, tortured, and executed large numbers of SWAPO members suspected of dissidence (Leys and Saul 1994, 127-40). Post-independence, Namibia has adhered to the formal rule of law and democracy, but power remained concentrated in the hands of Nujoma and his inner circle even after his retirement. Challenges to the government from dissatisfied regions in the 1990s were met with human rights violations and government repression (Bauer 2001, 40- 44, 53; Africa Confidential 2007). For these reasons, we code the SWAPO regime as authoritarian."	"End: Regime continued in power as of December 31, 2010."
Nepal (1846-1951)	"Start: 9/15/1846 Jang Bahadur (later Rana) became PM, exiled the king, and began the concentration of power in his own hands that resulted in the marginalization of the royal family and the establishment of Jang Bahadur's family as hereditary prime ministers and de facto rulers of Nepal. They controlled all executive, legislative, and judicial power. By 1950 the Rana family owned three fourths of the arable land in the country and consumed about half of the state's income (Levi 1952, 185-88; Hayes 1975, 620; Heitzman 1991)."	"End: 2/18/1951 The Rana family, which had usurped decision-making control as hereditary prime ministers during the nineteenth century, was forced to reinstate the hereditary monarch by an insurgency, demonstrations, and Indian pressure (Levi 1952, 185-91; Heitzman 1991). King Tribhuvan returned to Katmandu on February 15 and declared a change in the rules that would govern the country on February 18 (Levi 1952, 191)."
Nepal (1951-91)	"Start: 2/18/1951 The Rana family, which had usurped decision-making control as hereditary prime ministers during the nineteenth century, was forced to return executive power to the king by an insurgency and demonstrations (Levi 1952, 185-91; Heitzman 1991)."	"End: 5/12/1991 Multiparty elections won by a pro-democracy party mark the transition to constitutional monarchy (Rahim 1991). The king agreed to constitutional changes introducing multi-partyism and limits on the monarchy in 1990, but since the king chose the interim government and could have reneged on the agreements he had made, we do not code the regime as ended until the first election initiated parliamentary rule."
Nepal (2002-06)	"Start: 10/4/2002 King Gyanendra dismissed the PM, assumed executive power, and called off scheduled parliamentary elections, thus ending the previous period of constitutional monarchy (U.S. Dept. of State 2010b)."	"End: 4/24/2006 Massive demonstrations forced the king to reinstate the previously elected parliament on April 24. Parliament stripped the king of virtually all power in June 2006, returning the country to constitutional monarchy (Asian Human Rights Commission 2006; U.S. Dept. of State 2010b). ."
Nicaragua (1936-79)	"Start: 6/2/1936 coup led by Somoza Garcia ousted the civilian president. He then "railroaded" Congress into appointing a close ally as interim president and persuaded most of the traditional Partido Liberal, in which he had been a militant, to nominate him as their presidential candidate in the coming election. He won the presidential election, which was boycotted by the opposition, in December 1936 (Crawley 1984, 94-95)."	"End: 7/17/1979 Somoza Debayle resigned when his forces were defeated by the Sandinista insurgency, and a government controlled by insurgent leaders was installed a few days later Crawley 1984, 173; Booth 1998, 148)."
Nicaragua (1979-90)	"Start: 7/17/1979 Somoza resigned when his forces were defeated by insurgency, and the Sandinistas established a government controlled by the nine-member National Directorate (DNC) of the Frente Sandinista de Liberacion Nacional (Sandinista National Liberation Front) a few days later (Gorman 1981, 139-42; Crawley 1984, 173; Booth 1998, 148)."	"End: 2/25/1990 Competitive election won by the opposition (Carter Center 1990; Close 1999, 37)."
Niger (1960-74)	"Start: 8/3/1960 Independence under single-party rule. The PPN won the December 1958 pre-independence election with help from the French. Prior to independence, the most popular rival party was outlawed and its leaders jailed. Power was centralized under Diori, who controlled ministerial appointments without parliamentary scrutiny, could appoint and dismiss civil servants and military officers, and could decree and veto laws (Higgott and Fuglestad 1975, 385; Collier 1982, 109; Ibrahim 1994, 21-24)."	"End: 4/15/1974 Coup led by the Army Chief of Staff ousted the civilian government (Higgott and Fuglestad 1975, 385)."
Niger (1974-91)	"Start: 4/15/1974 coup led by the army chief of staff Kountche ousted the civilian government and established the all-military Conseil Militaire Supr^eme to rule. Within a year of the coup, most members of the CMS had been killed or jailed as Kountche consolidated personal power (Higgott and Fuglestad 1975, 385, 397; Robinson 1992, 155; Ibrahim 1994, 25)."	"End: 7/29/1991 The National Conference that stipped Saibou of all but ceremonial powers opened. In response to widespread demonstrations and strikes, President Saibou agreed to the National Conference, which met from July 29 to November 3 1991 (Gervais 1997, 92). It immediately ruled that its decisions would be sovereign, overruling existing institutions. It dissolved the government and ordered the ministries to report directly to it, and it dismissed the army commander. The National Conference chose a transitional government led by a technocrat and a professor, who had not been part of the old regime, to manage the transition to democracy. Fair multiparty elections were held in February-March 1993, and the winners were allowed to take power, completing a transition to democracy (Ibrahim 1994, 29-38; Gervais 1997, 96; Ibrahim and Souley 1998, 148-50; Political Handbook of the World 2012o)."
Niger (1996-99)	"Start: 1/27/1996 Coup led by Col Mainassara ousted the civilian government and formed the Conseil pour le Salut National to rule (Ibrahim and Souley 1998, 164)."	"End: 11/24/1999 Second round of competitive presidential elections completed a transition to democracy. In April 1999, President Mainassara was assassinated by one of his security guards. He was replaced by the head of the security guards, who established a transitional National Reconciliation Council to oversee elections and a transition to democracy. In October and November 1999, the military government oversaw competitive elections to choose a civilian government, and that government subsequently took office, completing the transition (Immigration and Refugee Board of Canada 2000; Political Handbook of the World 2012o)."
Nigeria (1966-79)	"Start: 7/29/1966 Military coup led by Hausa-Fulani junior officers and NCOs ousted the government of Ibo Maj Gen Ironsi. Ironsi, the commander of the army, had taken power with the concurrence of remaining civilian leaders after the mostly Ibo perpretrators of an attempted coup assassinated many northern political leaders and most of the military's highest ranked officers in January 1966 (Luckham 1971, 43-49, 55-66, 76-79). [The Ironsi government does not appear in the data set because it did not last until January 1.] The military regime that began in July 1966 is treated as different from the earlier military government because of the difference in ethnic base and the rank of the officers involved in the two governments."	"End: 8/11/1979 Competitive presidential election overseen by the outgoing military regime as a means of choosing civilian leadership of a democratic regime (Panter-Brick 1979, 317-35; African Elections Database 2011i)."
Nigeria (1983-93)	"Start: 12/31/1983 Coup ousted the elected government and established the Supreme Military Council to rule (Lovejoy 1991)."	"End: 8/26/1993 The military leader, Babangida, was forced to resign. He appointed an un-elected civilian as interim executive after annulling the results of what should have been a transitional election, leaving Gen Abacha as Defense Minister and the real leader of the succeeding regime (Lewis 1999, 144). In November 1993 the civilian resigned in favor of Abacha. Abacha purged Babangida's supporters from the highest government and military offices and changed the informal rules for choosing leaders and policies by eliminating substantial parts of the officer corps from positions of influence. He also eliminated civilian politicians who had been granted some influence as part of the aborted transition process (Associated Press 1993). Abacha relied on groups from his hometown (Economist 1996a). Because of these changes in the identity of those who had access to top leadership roles and influence on policy, the period after August 1993 is considered different from the Buhari/Babangida regime."
Nigeria (1993-99)	"Start: 8/26/1993 General Abacha and his narrow group of military allies replaced the institutionalized military regime led by Babangida. Within a month, Abacha had dismissed and forced into retirement a large number of high ranking officers and narrowed the group with influence and high office to his close military allies and individuals from his home area. He also eliminated the civilians who had cooperated with the previous regime from influence (Associated Press 1993; Economist 1996a; Economist 1996b)."	"End: 2/27/1999 Competitive presidential elections overseen by the military as part of a transition to democracy (Obasanjo 1993; Ihonvbere 1999, 59-62; African Elections Database 2011i)."
Oman (1741-)	"Start: 12/31/1741We date the start of the Al Said dynasty to 1741. With the previous dynasty weakened by civil war over the succession and poor leadership, in 1741 Ahmed bin Said al Busaidi, governor of Sohar on the coast of what is now of Oman, led the city's defense against a Persian invasion. Although he did not become the formal leader of Oman until 1744 (probably-date of formal election is disputed) when he was named imam, Ahmed bin Said seems to have been the most powerful leader during a very chaotic time beginning in 1741. The Al Said have remained in power as traditional sultans since then (Smyth 1993; Plekhanov 2004, 50-53)."	"End: Regime continued in power as of December 31, 2010."
Pakistan (1947-58)	"Start: 8/14/1947 At independence, control passed to a government led by Jinnah, who was elected shortly before independence by a Constituent Assembly that had itself been chosen partly by the rulers of the princely states and partly by provincial legislatures chosen in limited franchise elections (Feit 1973, 70; Gauhar 1996, 16). The Constituent Assembly, which also served as the legislature, remained in office for seven years without producing the constitution that would set the rules through which future legislatures would be elected. During that time the executive, the Governor General, continued to function under the rules of the colonial administration, which allowed him to choose and dismiss PMs without consulting the legislature and to dismiss elected provincial governments (Shehab 1995, 201; Gauhar 1996, 25-29). When in 1954 the Constituent Assembly passed a bill requiring the Governor General to choose PMs responsible to parliament, he dismissed it (Shehab 1995, 234-38; Gauhar 1996, 23-24). A new Constituent Assembly was chosen in 1954, again mostly by provincial assemblies, some of which had been intervened by the Governor General (Feit 1973, 70; Asfar 1991, 54). Because of the absence of mass suffrage direct elections for national office, 1947-58 is coded as authoritarian."	"End: 10/27/1958 Coup led by Gen. Ayub Khan ousted the civilian government. On October 7, President Iskander Mirza dismissed the Prime Minister, shut down the Parliament, and declared marital law. On October 27, Ayub Khan ousted Mirza (Feit 1973, 68; Shehab 1995, 246-250)."
Pakistan (1958-71)	"Start: 10/27/1958 Coup led by Commander-in-Chief Gen Ayub Khan ousted the civilian government and established military rule (Feit 1973, 68; Mook 1974, 102; Shehab 1995, 248-50)."	"End: 12/20/1971 Yahya Khan turned power over to Bhutto, whose party had won a plurality in West Pakistan - which after December 1971 was all that remained of Pakistan - in the December 1970 parliamentary elections. These universal suffrage, direct elections were considered fair and expected to be transitional, but the Assembly had not been allowed to meet because the Awami League representing East Pakistani aspirations for greater autonomy had won a majority (Mook 1974, 110-11; Shehab 1995, 272-87). Bhutto called the previously elected Assembly into session in spring 1972, and civilian government resumed (Middle East Journal 1972)."
Pakistan (1975-77)	"Start: 2/9/1975 On this date, the leaders of the most important opposition party were arrested and their party banned, marking the point at which the gradual authoritarianization of the Bhutto government crossed the threshold to dictatorship (Middle East Journal 1972, Wheeler 1975, 111, 113-114)."	"End: 7/5/1977 The military ousted Bhutto's government and declared martial law regime under the Army Chief of Staff General Zia-ul-Huq (Richter 1971, 548; Baxter 1991, 30; Baxter 1994)."
Pakistan (1977-88)	"Start: 7/5/1977 Coup led by army chief of staff Gen Zia installed a new ruling group (Baxter 1991, 30, Baxter 1994)."	"End: 11/16/1988 Competitive parliamentary elections permitted by the military rulers who took control after Zia was killed in a plane crash, returned power to civilians. The Pakistan People's Party, led by Benazir Bhutto, whose father had been ousted by Gen Zia, won the election and took office in December 1988, completing a transition to democracy (Baxter 1995; Inter-Parliamentary Union n.d.a)."
Pakistan (1999-2008)	"Start: 10/12/1999 coup led by Gen Musharraf ousted the civilian government and established the seven man National Security Council, made up of the commanders of the military services, the civilian PM, and several civilian ministers, as a ruling body, though observers claimed real power lay in the hands of a few generals and heads of military intelligence agencies (Economist 1999; Economist 2000; Political Handbook of the World 2012p, 1089)."	"End: 8/18/2008 Resignation by Musharraf under threat of impeachment completed the transition to democracy begun with the competitive elections held on February 18 2008 (New York Times 2008; Nelson 2009, 16-27)."
Panama (1949-51)	"Start: 11/24/1949 On this date, the National Guard installed Arias as President. The deposed acting president had tried to dismiss the head of the National Guard. In response, the Guard ousted him and installed Arias, who had been a candidate in the 1948 presidential election, claiming that a recount showed he had won the election (Pippin 1964, 40-57; Major 1993, 271; Pearcy 1998, 138-39). The results of the 1948 election had been intensely contested, with demonstrations, violence, and charges of fraud on both sides, and it is impossible to know now which candidate really won. The electoral board declared Diaz the victor, and he was inaugurated, but died in August 1949 and was succeeded by a constitutional successor who was deposed in November 1949 (Pippin 1964, 21-30). After being installed, Arias tried to change the constitution to lengthen his term, jailed hundreds of opponents, and tried to suspend the National Assembly (Pippin 1964, 69-70; Pearcy 1998, 138-39). So his government would be coded as authoritarian even if he won the 1948 election and had been allowed to take office immediately after it."	"End: 5/10/1951 Arias was ousted by the National Guard, and replaced by his VP, who appointed a multiparty cabinet and oversaw competitive elections in 1952. Arias had been impeached by the elected National Assembly, and the impeachment had been upheld by the Supreme Court, but he refused to step down and shot the one of the officers who came to talk to him about it. After the shooting, the Guard ousted him by force (Pippin 1964, 70-76; Pearcy 1998, 140; Bendel and Krennerich. 1993, 496)."
Panama (1953-55)	"Start: 2/28/1953 Legislation which passed on February 28, 1953 that disadvantaged opposition parties is treated as the point at which the gradual "authoritarianization" of the elected Remon government crossed the line to dictatorship. Harassment of the opposition continued from then on, and other legal disadvantages were imposed over time (Pippin 1964, 91-93)."	"End: 1/2/55 Remon was assassinated. Con ict among those who had been his closest supporters led to a split in the CPN, the marginalization of those committed to the rules and policies being established by Remon, and the return to dominance by traditional political elites who had been excluded from influence while he was alive. Remon's term was constitutionally completed by his second vice president, but we code the regime as ending with the assassination because the formal and informal rules defining who could influence policy began changing immediately, leading to a return to democracy the following year. The VP oversaw competitive elections May 1956 (Pippin 1964, 130-32; Pearcy 1998, 141-42)."
Panama (1968-82)	"Start: 10/11/1968 Coup led by the recently sacked commander of the National Guard ousted the civilian government and installed a new ruling group led by Guard officers. The regime had wide civilian support and over time incorporated civilians into newly created participatory institutions (Ropp 1982, 37; Priestley 2000, 28)."	"End: 3/3/1982 Coup ousted the Commander-in- Chief of the National Guard who had succeeded Torrijos when he died in July 1981. The civilian president chosen by Torrijos was forced to retire a few months later on July 31 1982. The March 3 1982 coup marks a transition from the Torrijos regime, in which both officers in the National Guard and a broad alliance of civilians influenced policy, to a regime based on one faction of the National Guard and a much narrower group of civilians (Kempe 1990, 114-24)."
Panama (1982-89)	"Start: 3/3/1982 Coup ousted the commander-in-chief of the National Guard. The civilian president chosen by Torrijos and the rest of the civilian government were forced to retire a few months later, completing a transition from the Torrijos regime, in which both officers in the National Guard and a broad alliance of civilians influenced policy, to a regime based on one faction of the National Guard and a much narrower group of civilians (Kempe 1990, 114-24)."	"End: 12/20/1989 Noriega and his allies were ousted by U.S. invading forces (Kempe 1990, 113-27)."
Paraguay (1939-48)	"Start: 4/30/1939 General Estigarribia, hero of the Chaco war and candidate of the PL, was indirectly elected unopposed, initiating a new period of authoritarianism led by military officers allied with shifting factions of civilians. In February 1940, he dissolved Congress (Lewis 1993, 175-78; As They Saw It 2012)."	"End: 6/3/1948 Coup supported by the Colorado party ousted Mori~nigo. Mori~nigo had cooperated with the Colorados in overseeing a single-party election in February 1948 to choose his successor, but they did not trust him to step down when their candidate was inaugurated. He was replaced by civilian one-party Colorado government (Leon- Roesch 1993, 514; OnWar 2000a)."
Paraguay (1948-54)	"Start: 6/3/1948 Coup by a faction of the military allied with one faction of the Colorado party ousted Mori~nigo and replaced him with an interim civilian Colorado government until the inauguration of Gonzalez, the Colorado candidate who had won the single-party election earlier in the year (Leon-Roesch 1993, 514; OnWar 2000a)."	"End: 5/7/1954 A brief military conflict led by Gen Stroessner ousted the civilian president. Stroessner was elected president two months later in a single-candidate election (Roett and Sacks 1991, 53-54; Leon-Roesch 1993, 507, 514)."
Paraguay (1954-93)	"Start: 5/7/1954 Coup led by Gen Stroessner ousted the civilian president. Stroessner was elected president two months later in a single-candidate election (Roett and Sacks 1991, 53-54; Leon-Roesch 1993, 514)."	"End: 5/9/1993 Competitive election, generally considered free, is coded as the endpoint of a series of democratizing reforms carried out between 1989 and 1993 by the Rodriguez administration. The 1989 election of Rodriguez is not considered transitional because he was a Stroessner regime insider and relative by marriage who had originally achieved office via coup in what Abente Brun (1999, 93) calls "an internal adjustment made by the ruling coalition". The formal and informal rules under which he won the election were very similar to those under which Stroessner had won elections (Abente Brun 1999, 93-94). Beginning in early 1990, however, the Rodriguez government carried out a series of democratizing reforms, e.g. the compulsory party affiliation of officers was ended, the military and police were prohibited from partisan activity, electoral rules that disadvantaged opposition parties were changed to PR, and a new constitution was written (Leon-Roesch 1993, 505; Lambert 2000, 383-85)."
Peru (1948-56)	"Start: 10/27/1948 Coup led by Gen Odria ousted the elected government and installed a military junta (Kantor 1969, 474; Tuesta Soldevilla 1993, 536)."	"End: 6/17/1956 Election won by a candidate, Manuel Prado Ugarteche, not supported by the outgoing regime (Masterson 1991, 148-49; Tuesta Soldevilla 1993, 525, 532)."
Peru (1962-63)	"Start: 7/18/1962 Coup led by the chairman of the joint chiefs of staff, Gen Perez Godoy, ousted the civilian government in order to prevent the incoming elected government from taking office and installed a military junta (Pike 1967, 302). In the June 1962 presidential election, no candidate had received the 1/3 of votes required to win so the choice went to Congress. Haya de la Torre, APRA's leader, and Odria, the former president and standard bearer for UNO, agreed to a coalition in which Odra would be president and Haya de la Torre's deputy would be vice president (because the military had let it be known that they would not allow Haya to take office). The military ousted the outgoing president in order to prevent the UNO-APRA alliance from taking office, annulled the election, and established a four man junta of the leaders of the services to rule until another election could be held (Pike 1967, 299-300; Kantor 1969, 477; Masterson 1991, 174-77 Klaren 2000, 320)."	"End: 6/9/1963 Competitive election returned power to civilians, completing the transition to democracy (Masterson 1991, 183)."
Peru (1968-80)	"Start: 10/3/1968 Coup led by the army chief of staff Gen Velasco ousted the elected president and installed a military junta (Einaudi 1974, 163, Masterson 1991, 229-30)."	"End: 5/18/1980 Competitive elections mark a transition to civilian democratic government (Tuesta Soldevilla 1993, 518; Orsini 2000)."
Peru (1992-2000)	"Start: 4/5/1992 Date of Fuijimori's autogolpe. Elected President Fujimori seized unAutocratic regime Start and End events 89 constitutional powers and closed Congress and the Ministry of Justice, initiating a period of authoritarianism (Tuesta Soldevilla 1993, 518; Conaghan 2005, 41-45)"	"End: 11/21/2000 Fujimori announced his formal resignation on November 21, while in Japan (New York Times 2000a).Fujimori resigned in response to the publication of evidence of corruption and human rights abuses. Remaining members of Fujimori's inner circle also resigned and/or agreed to turn power over to an interim government led by the opposition until the next election. Generals allied with Fujimori were forced to retire later the same month (BBC News 2000c; Taylor 2001, 18; Conaghan 2005, 228-42)."
Philippines (1972-86)	"Start: 9/22/1972 Elected President Marcos declared martial law: closed Congress, arrested opposition leaders, journalists, congressmen, and student activists, and closed many media outlets. The declaration of martial law is identified as the transition to dictatorship (Grossholtz 1973, 102; Zich 1986, 119-20; Seekins 1991)."	"End: 2/25/1986 Marcos resigned in response to massive demonstrations protesting a stolen election. His resignation allowed the newly elected government to take office (Seekins 1991)."
